player,sort_order,time,n_shots,event_type2,side,shot_place,shot_outcome,trueGoals,location,bodypart,assist_method,situation,fast_break,year,expectedGoals,difference,ratio,xG_per_shot_ratio
Aaron,2466,2335,48,432.0,70,284.0,92.0,1,560.0,62.0,43,53.0,0,96689,3.48,2.48,0.28735632183908044,0.0725
Aaron Cresswell,2215,2384,52,408.0,75,317.0,107.0,4,629.0,103.0,38,66.0,2,104795,3.55,-0.45,1.1267605633802817,0.06826923076923076
Aaron Hughes,56,55,1,15.0,2,0.0,0.0,1,19.0,1.0,0,1.0,0,2013,0.99,-0.01,1.0101010101010102,0.99
Aaron Hunt,12387,10517,215,1563.0,278,1075.0,428.0,25,2524.0,409.0,181,274.0,7,432783,26.01,1.01,0.9611687812379853,0.12097674418604652
Aaron Lennon,2521,2747,57,480.0,85,278.0,112.0,8,557.0,69.0,55,66.0,1,114843,5.33,-2.67,1.5009380863039399,0.09350877192982457
Aaron Leya Iseka,238,265,6,72.0,7,43.0,13.0,0,42.0,12.0,9,6.0,0,12096,0.5,0.5,0.0,0.08333333333333333
Aaron Martin,31,29,1,0.0,2,5.0,1.0,0,15.0,2.0,0,1.0,0,2016,0.02,0.02,0.0,0.02
Aaron Ramsey,9616,10440,191,1896.0,282,1076.0,379.0,17,1889.0,232.0,219,217.0,4,384827,21.58,4.58,0.7877664504170528,0.11298429319371726
Aaron Seydel,114,113,2,24.0,4,7.0,2.0,1,6.0,4.0,4,2.0,0,4032,0.3,-0.7,3.3333333333333335,0.15
Aaron Wilbraham,169,181,2,12.0,2,13.0,3.0,0,30.0,2.0,1,2.0,1,4028,0.16,0.16,0.0,0.08
Abde Barrada,434,407,9,96.0,14,33.0,20.0,0,95.0,15.0,16,9.0,0,18103,0.83,0.83,0.0,0.09222222222222222
Abdel,634,513,11,84.0,16,60.0,19.0,3,125.0,15.0,9,17.0,0,22121,2.07,-0.93,1.4492753623188408,0.18818181818181817
Abdel Barrada,3712,3537,81,648.0,111,506.0,158.0,6,913.0,107.0,65,98.0,2,163086,7.76,1.76,0.7731958762886598,0.09580246913580247
Abdelhamid El Kaoutari,851,793,14,135.0,16,74.0,25.0,2,123.0,31.0,16,19.0,0,28187,2.45,0.45,0.8163265306122448,0.17500000000000002
Abdelkader Ghezzal,2396,2319,44,444.0,61,288.0,89.0,2,439.0,73.0,58,50.0,2,88578,4.37,2.37,0.45766590389016015,0.09931818181818182
Abderazak Jadid,617,560,10,84.0,16,40.0,22.0,0,151.0,16.0,7,10.0,0,20110,0.25,0.25,0.0,0.025
Abdou Diallo,13,15,1,12.0,1,8.0,2.0,0,3.0,3.0,2,3.0,0,2016,0.11,0.11,0.0,0.11
